web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,title,title2,title3,title4,image,image2
"1779297167-39","https://www.bdhousing.com/features","Kirti Zebun Villa Sale","Kirti Holdings Limited","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2273","03","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246068/6046f670387edef5cf2b395c1ac7989d.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/7371/e9d4b059c6d165d957287cca52477b18.jpg"
"1779297167-40","https://www.bdhousing.com/features","Kirti Zebun Villa Sale","Kirti Holdings Limited","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2562","03","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246052/ee0c8eeda30eb7f5b4bc23bfb81d3274.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/7371/e9d4b059c6d165d957287cca52477b18.jpg"
"1779297167-41","https://www.bdhousing.com/features","Ryan's Hazi Garden Sale","Ryan Property LTD","Uttara, Dhaka","Call For Price","Apartment/Flats","1400","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/249929/e80a91587d782689355bee1cf765c965.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/11799/ea5417cc3842eeef09aa84987708f438.jpg"
"1779297167-42","https://www.bdhousing.com/features","RYAN'S SERENITA Sale","Ryan Property LTD","Uttara, Dhaka","Call For Price","Apartment/Flats","1580","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/249940/878f8ee25a6b5e819bd551fbc6667cfc.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/11799/ea5417cc3842eeef09aa84987708f438.jpg"
"1779297167-43","https://www.bdhousing.com/features","Property Anika Kutir  Sale","Property Development Ltd.","Jolshiri Abason, Dhaka","Call For Price","Apartment/Flats","2850","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251111/bd6d0ba6cc5934d4d6988e1c6428ccca.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/5013/3e70d47cfcf9638fe0df571cb1b8c324.jpg"
"1779297167-44","https://www.bdhousing.com/features","Ryan's Salma Noor Palace Sale","Ryan Property LTD","Uttara, Dhaka","Call For Price","Apartment/Flats","1696","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/249924/2de774702229f1c33d27f271e83aa97f.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/11799/ea5417cc3842eeef09aa84987708f438.jpg"
"1779297167-45","https://www.bdhousing.com/features","Dreamway Lucentia Sale","DREAMWAY HOLDINGS LTD","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2150","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/249603/454d7f821afeca5aeb1e109f88baa9a2.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/3546/9ac7ce5379207e96fe399e5210adcb3e.jpg"
"1779297167-46","https://www.bdhousing.com/features","Dreamway The Bloom Sale","DREAMWAY HOLDINGS LTD","Jolshiri Abason, Dhaka","TK. 2.99 Cr.","Apartment/Flats","2850","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/247336/57e3898c7a37c1e4f69e4e047080a157.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/3546/9ac7ce5379207e96fe399e5210adcb3e.jpg"
"1779297167-47","https://www.bdhousing.com/features","Dreamway Elysian Sale","DREAMWAY HOLDINGS LTD","Bashundhara R/A, Dhaka","Call For Price","Land Sharing Flat","2050","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248972/4999e5b53a7febb56a5e051ecf987fdd.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/3546/9ac7ce5379207e96fe399e5210adcb3e.jpg"
"1779297167-48","https://www.bdhousing.com/features","Dreamway Luxury Cottage Sale","DREAMWAY HOLDINGS LTD","Bashundhara R/A, Dhaka","Call For Price","Duplex Home","3100","05","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248971/d364e10d0563b1d93ecf6884deeb10f2.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/3546/9ac7ce5379207e96fe399e5210adcb3e.jpg"
"1779297167-49","https://www.bdhousing.com/features","Dreamway Amantu Billah, Park View Sale","DREAMWAY HOLDINGS LTD","Jolshiri Abason, Dhaka","TK. 2.99 Cr.","Apartment/Flats","2850","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/247195/a09048df6d61b4f2107274fb344b4a40.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/3546/9ac7ce5379207e96fe399e5210adcb3e.jpg"
"1779297167-50","https://www.bdhousing.com/features","Green Valley Sale","Green Land Developemnt","Badda, Dhaka","Call For Price","Apartment/Flats","1413","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251013/d327b973e28a41901e96d6ebe0dfe789.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13517/071ed1b6a03ce6a19e798963cd0665c4.jpg"
"1779297167-51","https://www.bdhousing.com/features","Green Valley Sale","Green Land Developemnt","Badda, Dhaka","Call For Price","Apartment/Flats","1882","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251012/d327b973e28a41901e96d6ebe0dfe789.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13517/071ed1b6a03ce6a19e798963cd0665c4.jpg"
"1779297167-52","https://www.bdhousing.com/features","GREEN LAKE VIEW Sale","Green Land Developemnt","Manda, Dhaka","Call For Price","Land Sharing Flat","1257","02","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251128/a83c933d9c146ee61692089dbe1b39f3.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13517/071ed1b6a03ce6a19e798963cd0665c4.jpg"
"1779297167-53","https://www.bdhousing.com/features","Green Valley Sale","Green Land Developemnt","Badda, Dhaka","Call For Price","Apartment/Flats","1108","03","02","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/251016/d327b973e28a41901e96d6ebe0dfe789.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13517/071ed1b6a03ce6a19e798963cd0665c4.jpg"
"1779297167-54","https://www.bdhousing.com/features","BrwonField Chowdhuryz' Sale","BrownField Design And Development Ltd.","Jolshiri Abason, Dhaka","Call For Price","Apartment/Flats","2850","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250820/ae5df4ef2fc562ec43cf4fb6091bc20b.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13286/1026517d940f5421ed3e5c7291b4e692.jpg"
"1779297167-55","https://www.bdhousing.com/features","Brownfield Iqbal's Haven Sale","BrownField Design And Development Ltd.","Jolshiri Abason, Dhaka","Call For Price","Apartment/Flats","2850","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250815/2de40e0d504f583cda7465979f958a98.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13286/1026517d940f5421ed3e5c7291b4e692.jpg"
